name,url
Huawei,huawei.com
BAE,baesystems.com
Axis,axis.com
Bosch Security Systems ,boschsecurity.com
Dahua,dahuasecurity.com
NEC,nec.com
ZTE,zte.com.cn
CrowdOptic,crowdoptic.com
Hikvision,hikvision.com
Palantir,palantir.com
IBM,ibm.com
Infinova,infinova.com
Creston,crestron.com
Guardia,guardianva.com
Anyvision,anyvision.co
Elbit,elbitsystems.com
BriefCam,briefcam.com
Verint,verint.com
Qualcom,qualcomm.com
Accenture,accenture.com
Dassault,3ds.com
Tascent,tascent.com
Avilgon,avigilon.com
Face First,facefirst.com
CloudWalk,cloudwalk.com